"","data_id","country_id","country_indicator_id","data_time","data_value"
"577",577,16,5,2005-03-22,NA
"578",578,16,6,2005-03-22,NA
"579",579,16,7,2005-03-22,NA
"580",580,16,8,2005-03-22,-2628.1
"581",581,16,9,2005-03-22,NA
"582",582,16,10,2005-03-22,NA
"583",583,16,11,2005-03-22,NA
"584",584,16,12,2005-03-22,99.22
"585",585,16,13,2005-03-22,-42.33
"586",586,16,14,2005-03-22,NA
"587",587,16,2,2004-03-22,5226.78
"588",588,16,3,2004-03-22,NA
"589",589,16,4,2004-03-22,NA
"590",590,16,5,2004-03-22,NA
"591",591,16,6,2004-03-22,NA
"592",592,16,7,2004-03-22,NA
"593",593,16,8,2004-03-22,-1554.57
"594",594,16,9,2004-03-22,NA
"595",595,16,10,2004-03-22,NA
"596",596,16,11,2004-03-22,NA
"597",597,16,12,2004-03-22,91.59
"598",598,16,13,2004-03-22,-29.74
"599",599,16,14,2004-03-22,NA
"600",600,16,2,2003-03-22,4515.56
"601",601,16,3,2003-03-22,NA
"602",602,16,4,2003-03-22,NA
"603",603,16,5,2003-03-22,NA
"604",604,16,6,2003-03-22,NA
"605",605,16,7,2003-03-22,NA
"606",606,16,8,2003-03-22,-1247.41
"607",607,16,9,2003-03-22,NA
"608",608,16,10,2003-03-22,NA
"609",609,16,11,2003-03-22,NA
"610",610,16,12,2003-03-22,116.36
"611",611,16,13,2003-03-22,-27.62
"612",612,16,14,2003-03-22,NA
"613",613,16,2,2002-03-22,4055.18
"614",614,16,3,2002-03-22,NA
"615",615,16,4,2002-03-22,NA
"616",616,16,5,2002-03-22,NA
"617",617,16,6,2002-03-22,NA
"618",618,16,7,2002-03-22,NA
"619",619,16,8,2002-03-22,-1522.7
"620",620,16,9,2002-03-22,NA
"621",621,16,10,2002-03-22,NA
"622",622,16,11,2002-03-22,NA
"623",623,16,12,2002-03-22,103.11
"624",624,16,13,2002-03-22,-37.55
"625",625,16,14,2002-03-22,NA
"626",626,16,2,2001-03-22,NA
"627",627,16,3,2001-03-22,NA
"628",628,16,4,2001-03-22,NA
"629",629,16,5,2001-03-22,NA
"630",630,16,6,2001-03-22,NA
"631",631,16,7,2001-03-22,NA
"632",632,16,8,2001-03-22,NA
"633",633,16,9,2001-03-22,NA
"634",634,16,10,2001-03-22,NA
"635",635,16,11,2001-03-22,NA
"636",636,16,12,2001-03-22,NA
"637",637,16,13,2001-03-22,NA
"638",638,16,14,2001-03-22,NA
"639",639,16,2,2000-03-22,NA
"640",640,16,3,2000-03-22,NA
"641",641,16,4,2000-03-22,NA
"642",642,16,5,2000-03-22,NA
"643",643,16,6,2000-03-22,NA
"644",644,16,7,2000-03-22,NA
"645",645,16,8,2000-03-22,NA
"646",646,16,9,2000-03-22,NA
"647",647,16,10,2000-03-22,NA
"648",648,16,11,2000-03-22,NA
"649",649,16,12,2000-03-22,NA
"650",650,16,13,2000-03-22,NA
"651",651,16,14,2000-03-22,NA
"652",652,16,2,1999-03-22,NA
"653",653,16,3,1999-03-22,NA
"654",654,16,4,1999-03-22,NA
"655",655,16,5,1999-03-22,NA
"656",656,16,6,1999-03-22,NA
"657",657,16,7,1999-03-22,NA
"658",658,16,8,1999-03-22,NA
"659",659,16,9,1999-03-22,NA
"660",660,16,10,1999-03-22,NA
"661",661,16,11,1999-03-22,NA
"662",662,16,12,1999-03-22,NA
"663",663,16,13,1999-03-22,NA
"664",664,16,14,1999-03-22,NA
"665",665,16,2,1998-03-22,NA
"666",666,16,3,1998-03-22,NA
"667",667,16,4,1998-03-22,NA
"668",668,16,5,1998-03-22,NA
"669",669,16,6,1998-03-22,NA
"670",670,16,7,1998-03-22,NA
"671",671,16,8,1998-03-22,NA
"672",672,16,9,1998-03-22,NA
"673",673,16,10,1998-03-22,NA
"674",674,16,11,1998-03-22,NA
"675",675,16,12,1998-03-22,NA
"676",676,16,13,1998-03-22,NA
"677",677,16,14,1998-03-22,NA
"678",678,16,2,1997-03-22,NA
"679",679,16,3,1997-03-22,NA
"680",680,16,4,1997-03-22,NA
"681",681,16,5,1997-03-22,NA
"682",682,16,6,1997-03-22,NA
"683",683,16,7,1997-03-22,NA
"684",684,16,8,1997-03-22,NA
"685",685,16,9,1997-03-22,NA
"686",686,16,10,1997-03-22,NA
"687",687,16,11,1997-03-22,NA
"688",688,16,12,1997-03-22,NA
"689",689,16,13,1997-03-22,NA
"690",690,16,14,1997-03-22,NA
"691",691,16,2,1996-03-22,NA
"692",692,16,3,1996-03-22,NA
"693",693,16,4,1996-03-22,NA
"694",694,16,5,1996-03-22,NA
"695",695,16,6,1996-03-22,NA
"696",696,16,7,1996-03-22,NA
"697",697,16,8,1996-03-22,NA
"698",698,16,9,1996-03-22,NA
"699",699,16,10,1996-03-22,NA
"700",700,16,11,1996-03-22,NA
"701",701,16,12,1996-03-22,NA
"702",702,16,13,1996-03-22,NA
"703",703,16,14,1996-03-22,NA
"704",704,16,2,1995-03-22,NA
"705",705,16,3,1995-03-22,NA
"706",706,16,4,1995-03-22,NA
"707",707,16,5,1995-03-22,NA
"708",708,16,6,1995-03-22,NA
"709",709,16,7,1995-03-22,NA
"710",710,16,8,1995-03-22,NA
"711",711,16,9,1995-03-22,NA
"712",712,16,10,1995-03-22,NA
"713",713,16,11,1995-03-22,NA
"714",714,16,12,1995-03-22,NA
"715",715,16,13,1995-03-22,NA
"716",716,16,14,1995-03-22,NA
"717",717,16,2,1994-03-22,NA
